,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
order_id,337525,Hangawi,Korean,30.75,Weekend,Not given,25,20
1477147,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,Not given,25,23
1477685,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28
1477070,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15
1477334,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24
1478249,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24
1477224,157711,The Meatball Shop,Italian,6.07,Weekend,Not given,28,21
1477894,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30
1477859,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26
1477174,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26
1477311,143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,Not given,34,28
1477895,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22
1478437,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17
1476966,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23
1477449,62667,Lucky's Famous Burgers,American,12.13,Weekday,Not given,23,30
1478198,66222,Shake Shack,American,16.2,Weekend,5,33,25
1477414,104555,Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16
1477486,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,Not given,21,22
1477373,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24
1477138,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26
1477354,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24
1478296,137565,Shake Shack,American,15.91,Weekend,Not given,25,20
1478226,150599,Shake Shack,American,29.1,Weekday,5,21,30
1478287,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16
1478014,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29
1476714,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29
1476693,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27
1476995,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,Not given,24,16
1476844,76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,Not given,21,24
1477015,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29
1476889,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25
1478289,302790,Klong,Thai,29.05,Weekend,5,35,24
1477699,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24
1476855,105349,TAO,Japanese,9.12,Weekend,Not given,34,18
1477748,181782,Parm,Italian,29.1,Weekend,5,30,26
1478244,65224,Sushi Samba,Japanese,15.47,Weekend,Not given,32,26
1478310,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31
1478017,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29
1476871,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32
1477999,220693,Shake Shack,American,19.89,Weekend,Not given,27,19
1476891,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18
1477425,337525,TAO,Japanese,33.22,Weekend,Not given,23,19
1478143,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15
1477267,107909,Cafeteria,American,16.44,Weekend,Not given,33,22
1477728,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20
1476908,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23
1476581,198802,DuMont Burger,American,29.05,Weekend,5,22,30
1476930,122864,Sarabeth's East,American,13.78,Weekend,4,34,24
1477621,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24
1478354,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21
1477251,300003,Bistango,Italian,21.88,Weekend,Not given,21,19
1477656,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28
1477883,112036,TAO,Japanese,20.23,Weekend,5,22,20
1477205,73895,RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23
1478107,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29
1477760,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15
1476562,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24
1477692,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33
1477889,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30
1477243,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28
1477560,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21
1476896,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20
1478327,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27
1476820,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26
1478121,82041,Shake Shack,American,33.03,Weekday,Not given,22,32
1478077,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32
1478359,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20
1476841,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23
1477125,200074,Osteria Morini,Italian,14.55,Weekend,Not given,34,22
